  firstName  |   lastName   | totalAmount 
 Kelly       | Torres       |         484
 Nicole      | Peterson     |         484
 Judy        | Gray         |         625
 Christina   | Ramirez      |         324
 Kathy       | James        |         900
 Theresa     | Watson       |         900
 Beverly     | Brooks       |         576
 Denise      | Kelly        |         729
 Tammy       | Sanders      |        1681
 Irene       | Price        |         529
 Jane        | Bennett      |         784
 Lori        | Wood         |         961
 Rachel      | Barnes       |         484
 Marilyn     | Ross         |         900
 Andrea      | Henderson    |         484
 Kathryn     | Coleman      |         676
 Louise      | Jenkins      |         625
 Sara        | Perry        |        1089
 Anne        | Powell       |         529
 Jacqueline  | Long         |        1089
 Wanda       | Patterson    |         900
 Bonnie      | Hughes       |         441
 Julia       | Flores       |        1024
 Ruby        | Washington   |         784
 Lois        | Butler       |        1225
 Tina        | Simmons      |         784
 Phyllis     | Foster       |         529
 Norma       | Gonzales     |         441
 Paula       | Bryant       |         324
 Diana       | Alexander    |         729
 Annie       | Russell      |         324
 Lillian     | Griffin      |         625
 Emily       | Diaz         |         576
 Robin       | Hayes        |         576
 Peggy       | Myers        |         576
 Crystal     | Ford         |        1089
 Gladys      | Hamilton     |         961
 Rita        | Graham       |         576
 Dawn        | Sullivan     |         676
 Connie      | Wallace      |         529
 Florence    | Woods        |         900
 Tracy       | Cole         |         900
 Edna        | West         |         676
 Tiffany     | Jordan       |         196
 Carmen      | Owens        |         676
 Rosa        | Reynolds     |         900
 Cindy       | Fisher       |         841
 Grace       | Ellis        |        1089
 Wendy       | Harrison     |         900
 Victoria    | Gibson       |         729
 Edith       | Mcdonald     |         361
 Kim         | Cruz         |         441
 Sherry      | Marshall     |        1156
 Sylvia      | Ortiz        |        1024
 Josephine   | Gomez        |         676
 Thelma      | Murray       |        1024
 Shannon     | Freeman      |         576
 Sheila      | Wells        |         324
 Ethel       | Webb         |        1024
 Ellen       | Simpson      |         784
 Elaine      | Stevens      |         576
 Marjorie    | Tucker       |        1024
 Carrie      | Porter       |        1156
 Charlotte   | Hunter       |         576
 Monica      | Hicks        |         900
 Esther      | Crawford     |         784
 Pauline     | Henry        |         729
 Emma        | Boyd         |         529
 Juanita     | Mason        |         900
 Anita       | Morales      |         225
 Rhonda      | Kennedy      |        1521
 Hazel       | Warren       |        1156
 Amber       | Dixon        |         729
 Eva         | Ramos        |         324
 Debbie      | Reyes        |        1024
 April       | Burns        |         676
 Leslie      | Gordon       |         484
 Clara       | Shaw         |        1764
 Lucille     | Holmes       |         784
 Jamie       | Rice         |         841
 Joanne      | Robertson    |        1156
 Eleanor     | Hunt         |        2116
 Valerie     | Black        |         676
 Danielle    | Daniels      |         625
 Megan       | Palmer       |         729
 Alicia      | Mills        |         441
 Suzanne     | Nichols      |         576
 Michele     | Grant        |         900
 Gail        | Knight       |         625
 Bertha      | Ferguson     |         625
 Veronica    | Stone        |        1024
 Jill        | Hawkins      |         441
 Erin        | Dunn         |         729
 Geraldine   | Perkins      |         900
 Lauren      | Hudson       |         400
 Cathy       | Spencer      |         841
 Joann       | Gardner      |         256
 Lorraine    | Stephens     |         441
 Lynn        | Payne        |         784
 Sally       | Pierce       |        1024
 Regina      | Berry        |        1156
 Erica       | Matthews     |         484
 Beatrice    | Arnold       |         676
 Dolores     | Wagner       |         676
 Bernice     | Willis       |        1089
 Audrey      | Ray          |         841
 Yvonne      | Watkins      |         441
 Annette     | Olson        |         576
 June        | Carroll      |        1369
 Samantha    | Duncan       |         529
 Marion      | Snyder       |        1521
 Dana        | Hart         |         841
 Stacy       | Cunningham   |         529
 Ana         | Bradley      |        1156
 Renee       | Lane         |         676
 Ida         | Andrews      |         529
 Vivian      | Ruiz         |         529
 Roberta     | Harper       |         529
 Holly       | Fox          |         961
 Brittany    | Riley        |         784
 Melanie     | Armstrong    |         625
 Loretta     | Carpenter    |         484
 Yolanda     | Weaver       |         729
 Jeanette    | Greene       |         400
 Laurie      | Lawrence     |         529
 Katie       | Elliott      |         625
 Kristen     | Chavez       |         324
 Vanessa     | Sims         |         361
 Alma        | Austin       |        1225
 Sue         | Peters       |        1600
 Elsie       | Kelley       |        1369
 Beth        | Franklin     |         625
 Jeanne      | Lawson       |         729
 Vicki       | Fields       |         625
 Carla       | Gutierrez    |         676
 Tara        | Ryan         |         400
 Rosemary    | Schmidt      |        1225
 Eileen      | Carr         |         324
 Terri       | Vasquez      |         729
 Gertrude    | Castillo     |        1156
 Lucy        | Wheeler      |         676
 Tonya       | Chapman      |        1024
 Ella        | Oliver       |         961
 Stacey      | Montgomery   |        1156
 Wilma       | Richards     |         400
 Gina        | Williamson   |         784
 Kristin     | Johnston     |         961
 Jessie      | Banks        |         676
 Natalie     | Meyer        |         529
 Agnes       | Bishop       |         529
 Vera        | Mccoy        |         324
 Willie      | Howell       |         676
 Charlene    | Alvarez      |         729
 Bessie      | Morrison     |         784
 Delores     | Hansen       |         441
 Melinda     | Fernandez    |         289
 Pearl       | Garza        |         484
 Arlene      | Harvey       |         676
 Maureen     | Little       |         441
 Colleen     | Burton       |         576
 Allison     | Stanley      |         729
 Tamara      | Nguyen       |         625
 Joy         | George       |        1089
 Georgia     | Jacobs       |         676
 Constance   | Reid         |         625
 Lillie      | Kim          |         529
 Claudia     | Fuller       |         676
 Jackie      | Lynch        |         625
 Marcia      | Dean         |        1764
 Tanya       | Gilbert      |        1089
 Nellie      | Garrett      |         441
 Minnie      | Romero       |        1156
 Marlene     | Welch        |         676
 Heidi       | Larson       |        1156
 Glenda      | Frazier      |        1024
 Lydia       | Burke        |         576
 Viola       | Hanson       |        1024
 Courtney    | Day          |        1024
 Marian      | Mendoza      |         529
 Stella      | Moreno       |         484
 Caroline    | Bowman       |         225
 Dora        | Medina       |         529
 Jo          | Fowler       |         400
 Vickie      | Brewer       |         961
 Mattie      | Hoffman      |         484
 Terry       | Carlson      |         841
 Maxine      | Silva        |        1024
 Irma        | Pearson      |         324
 Mabel       | Holland      |         900
 Marsha      | Douglas      |        1369
 Myrtle      | Fleming      |         576
 Lena        | Jensen       |        1056
 Christy     | Vargas       |         961
 Deanna      | Byrd         |         676
 Patsy       | Davidson     |         784
 Hilda       | Hopkins      |         841
 Gwendolyn   | May          |         625
 Jennie      | Terry        |         841
 Nora        | Herrera      |         784
 Margie      | Wade         |        1296
 Nina        | Soto         |         841
 Cassandra   | Walters      |         900
 Leah        | Curtis       |         625
 Penny       | Neal         |         324
 Kay         | Caldwell     |         400
 Priscilla   | Lowe         |        1225
 Naomi       | Jennings     |        1225
 Carole      | Barnett      |         900
 Brandy      | Graves       |         784
 Olga        | Jimenez      |        1024
 Billie      | Horton       |         676
 Dianne      | Shelton      |         961
 Tracey      | Barrett      |         729
 Leona       | Obrien       |         196
 Jenny       | Castro       |         729
 Felicia     | Sutton       |         784
 Sonia       | Gregory      |         784
 Miriam      | Mckinney     |         676
 Velma       | Lucas        |         729
 Becky       | Miles        |         841
 Bobbie      | Craig        |         576
 Violet      | Rodriquez    |         900
 Kristina    | Chambers     |         784
 Toni        | Holt         |         529
 Misty       | Lambert      |         729
 Mae         | Fletcher     |         961
 Shelly      | Watts        |         676
 Daisy       | Bates        |        1444
 Ramona      | Hale         |         900
 Sherri      | Rhodes       |        1089
 Erika       | Pena         |         676
 James       | Gannon       |         900
 John        | Farnsworth   |         961
 Robert      | Baughman     |         441
 Michael     | Silverman    |         841
 William     | Satterfield  |         676
 David       | Royal        |         676
 Richard     | Mccrary      |         625
 Charles     | Kowalski     |        1024
 Joseph      | Joy          |         900
 Thomas      | Grigsby      |         625
 Christopher | Greco        |         961
 Daniel      | Cabral       |         400
 Paul        | Trout        |         529
 Mark        | Rinehart     |         676
 Donald      | Mahon        |         529
 George      | Linton       |        1089
 Kenneth     | Gooden       |         289
 Steven      | Curley       |         841
 Edward      | Baugh        |         784
 Brian       | Wyman        |         144
 Ronald      | Weiner       |         900
 Anthony     | Schwab       |         400
 Kevin       | Schuler      |         484
 Jason       | Morrissey    |         784
 Matthew     | Mahan        |         961
 Gary        | Coy          |         625
 Timothy     | Bunn         |         484
 Jose        | Andrew       |         625
 Larry       | Thrasher     |         676
 Jeffrey     | Spear        |         529
 Frank       | Waggoner     |        1024
 Scott       | Shelley      |         625
 Eric        | Robert       |         729
 Stephen     | Qualls       |         784
 Andrew      | Purdy        |         729
 Raymond     | Mcwhorter    |         900
 Gregory     | Mauldin      |         529
 Joshua      | Mark         |         900
 Jerry       | Jordon       |         841
 Dennis      | Gilman       |         784
 Walter      | Perryman     |         900
 Patrick     | Newsom       |         961
 Peter       | Menard       |         529
 Harold      | Martino      |        1024
 Douglas     | Graf         |         625
 Henry       | Billingsley  |         324
 Carl        | Artis        |         529
 Arthur      | Simpkins     |        1024
 Ryan        | Salisbury    |         900
 Roger       | Quintanilla  |        1296
 Joe         | Gilliland    |         841
 Juan        | Fraley       |         529
 Jack        | Foust        |         576
 Albert      | Crouse       |         529
 Jonathan    | Scarborough  |         324
 Justin      | Ngo          |        1296
 Terry       | Grissom      |         400
 Gerald      | Fultz        |         900
 Keith       | Rico         |         676
 Samuel      | Marlow       |         441
 Willie      | Markham      |         625
 Ralph       | Madrigal     |        1156
 Lawrence    | Lawton       |         961
 Nicholas    | Barfield     |        1024
 Roy         | Whiting      |         841
 Benjamin    | Varney       |         529
 Bruce       | Schwarz      |         529
 Brandon     | Huey         |        1369
 Adam        | Gooch        |         484
 Harry       | Arce         |        1225
 Fred        | Wheat        |         625
 Wayne       | Truong       |         361
 Billy       | Poulin       |        1225
 Steve       | Mackenzie    |        1156
 Louis       | Leone        |        1225
 Jeremy      | Hurtado      |         784
 Aaron       | Selby        |         576
 Randy       | Gaither      |         784
 Howard      | Fortner      |         676
 Eugene      | Culpepper    |         361
 Carlos      | Coughlin     |         529
 Russell     | Brinson      |        1296
 Bobby       | Boudreau     |        1225
 Victor      | Barkley      |         576
 Martin      | Bales        |         729
 Ernest      | Stepp        |         625
 Phillip     | Holm         |         676
 Todd        | Tan          |         841
 Jesse       | Schilling    |         676
 Craig       | Morrell      |         900
 Alan        | Kahn         |         676
 Shawn       | Heaton       |        1089
 Clarence    | Gamez        |         900
 Sean        | Douglass     |         529
 Philip      | Causey       |         961
 Chris       | Brothers     |         484
 Johnny      | Turpin       |         361
 Earl        | Shanks       |         729
 Jimmy       | Schrader     |         841
 Antonio     | Meek         |         256
 Danny       | Isom         |         441
 Bryan       | Hardison     |         784
 Tony        | Carranza     |         462
 Luis        | Yanez        |         400
 Mike        | Way          |        1225
 Stanley     | Scroggins    |         900
 Leonard     | Schofield    |        1024
 Nathan      | Runyon       |        1024
 Dale        | Ratcliff     |         729
 Manuel      | Murrell      |         900
 Rodney      | Moeller      |         529
 Curtis      | Irby         |        1444
 Norman      | Currier      |         676
 Allen       | Butterfield  |         441
 Marvin      | Yee          |         441
 Vincent     | Ralston      |         625
 Glenn       | Pullen       |         529
 Jeffery     | Pinson       |         961
 Travis      | Estep        |         625
 Jeff        | East         |         900
 Chad        | Carbone      |         625
 Jacob       | Lance        |         441
 Lee         | Hawks        |         729
 Melvin      | Ellington    |         676
 Alfred      | Casillas     |         676
 Kyle        | Spurlock     |         900
 Francis     | Sikes        |         676
 Bradley     | Motley       |         729
 Jesus       | Mccartney    |         576
 Herbert     | Kruger       |         400
 Frederick   | Isbell       |         441
 Ray         | Houle        |         484
 Joel        | Francisco    |         529
 Edwin       | Burk         |         529
 Don         | Bone         |         625
 Eddie       | Tomlin       |         729
 Ricky       | Shelby       |         625
 Troy        | Quigley      |         900
 Randall     | Neumann      |         529
 Barry       | Lovelace     |        1089
 Alexander   | Fennell      |        1296
 Bernard     | Colby        |         484
 Mario       | Cheatham     |         784
 Leroy       | Bustamante   |        1024
 Francisco   | Skidmore     |         484
 Marcus      | Hidalgo      |         900
 Micheal     | Forman       |         676
 Theodore    | Culp         |         961
 Clifford    | Bowens       |         841
 Miguel      | Betancourt   |         841
 Oscar       | Aquino       |         400
 Jay         | Robb         |         676
 Jim         | Rea          |        1089
 Tom         | Milner       |        1024
 Calvin      | Martel       |         529
 Alex        | Gresham      |        1089
 Jon         | Wiles        |         576
 Ronnie      | Ricketts     |         625
 Bill        | Gavin        |         784
 Lloyd       | Dowd         |         361
 Tommy       | Collazo      |        1444
 Leon        | Bostic       |         625
 Derek       | Blakely      |         784
 Warren      | Sherrod      |        1089
 Darrell     | Power        |         625
 Jerome      | Kenyon       |         256
 Floyd       | Gandy        |         289
 Leo         | Ebert        |         529
 Alvin       | Deloach      |         841
 Tim         | Cary         |        1521
 Wesley      | Bull         |        1600
 Gordon      | Allard       |        1024
 Dean        | Sauer        |         729
 Greg        | Robins       |         900
 Jorge       | Olivares     |        1156
 Dustin      | Gillette     |         676
 Pedro       | Chestnut     |         576
 Derrick     | Bourque      |         484
 Dan         | Paine        |         484
 Lewis       | Lyman        |         361
 Zachary     | Hite         |         961
 Corey       | Hauser       |         484
 Herman      | Devore       |         841
 Maurice     | Crawley      |         841
 Vernon      | Chapa        |         324
 Roberto     | Vu           |         900
 Clyde       | Tobias       |         841
 Glen        | Talbert      |         676
 Hector      | Poindexter   |         676
 Shane       | Millard      |         484
 Ricardo     | Meador       |         441
 Sam         | Mcduffie     |         576
 Rick        | Mattox       |         729
 Lester      | Kraus        |         256
 Brent       | Harkins      |         529
 Ramon       | Choate       |         961
 Charlie     | Bess         |         676
 Tyler       | Wren         |         441
 Gilbert     | Sledge       |         784
 Gene        | Sanborn      |         729
 Marc        | Outlaw       |         900
 Reginald    | Kinder       |         784
 Ruben       | Geary        |         441
 Brett       | Cornwell     |        1156
 Angel       | Barclay      |        1024
 Nathaniel   | Adam         |         784
 Rafael      | Abney        |         441
 Leslie      | Seward       |        1225
 Edgar       | Rhoads       |         625
 Milton      | Howland      |         625
 Raul        | Fortier      |         400
 Ben         | Easter       |         676
 Chester     | Benner       |         576
 Cecil       | Vines        |         676
 Duane       | Tubbs        |         961
 Franklin    | Troutman     |         484
 Andre       | Rapp         |         784
 Elmer       | Noe          |         676
 Brad        | Mccurdy      |         625
 Gabriel     | Harder       |         676
 Ron         | Deluca       |         529
 Mitchell    | Westmoreland |        1024
 Roland      | South        |         529
 Arnold      | Havens       |        1089
 Harvey      | Guajardo     |         484
 Jared       | Ely          |         361
 Adrian      | Clary        |         361
 Karl        | Seal         |        2025
 Cory        | Meehan       |         576
 Claude      | Herzog       |         625
 Erik        | Guillen      |         841
 Darryl      | Ashcraft     |         529
 Jamie       | Waugh        |         625
 Neil        | Renner       |        1024
 Jessie      | Milam        |        1089
 Christian   | Jung         |         576
 Javier      | Elrod        |        1024
 Fernando    | Churchill    |         625
 Clinton     | Buford       |         625
 Ted         | Breaux       |         841
 Mathew      | Bolin        |         484
 Tyrone      | Asher        |         576
 Darren      | Windham      |         576
 Lonnie      | Tirado       |         324
 Lance       | Pemberton    |         484
 Cody        | Nolen        |         484
 Julio       | Noland       |         441
 Kelly       | Knott        |         650
 Kurt        | Emmons       |         529
 Allan       | Cornish      |         361
 Nelson      | Christenson  |         400
 Guy         | Brownlee     |        1024
 Clayton     | Barbee       |         676
 Hugh        | Waldrop      |         441
 Max         | Pitt         |         576
 Dwayne      | Olvera       |         484
 Dwight      | Lombardi     |         289
 Armando     | Gruber       |         441
 Felix       | Gaffney      |         576
 Jimmie      | Eggleston    |         784
 Everett     | Banda        |         784
 Jordan      | Archuleta    |         900
 Ian         | Still        |         729
 Wallace     | Slone        |         625
 Ken         | Prewitt      |         841
 Bob         | Pfeiffer     |         576
 Jaime       | Nettles      |         841
 Casey       | Mena         |        1156
 Alfredo     | Mcadams      |         400
 Alberto     | Henning      |         441
 Dave        | Gardiner     |        1024
 Ivan        | Cromwell     |         676
 Johnnie     | Chisholm     |         576
 Sidney      | Burleson     |         625
 Byron       | Box          |         841
 Julian      | Vest         |         784
 Isaac       | Oglesby      |         841
 Morris      | Mccarter     |        1156
 Clifton     | Malcolm      |         756
 Willard     | Lumpkin      |         484
 Daryl       | Larue        |         729
 Ross        | Grey         |         729
 Virgil      | Wofford      |         729
 Andy        | Vanhorn      |         625
 Marshall    | Thorn        |         529
 Salvador    | Teel         |         900
 Perry       | Swafford     |         576
 Kirk        | Stclair      |         361
 Sergio      | Stanfield    |         676
 Marion      | Ocampo       |         841
 Tracy       | Herrmann     |         784
 Seth        | Hannon       |         625
 Kent        | Arsenault    |         729
 Terrance    | Roush        |         841
 Rene        | Mcalister    |         676
 Eduardo     | Hiatt        |         729
 Terrence    | Gunderson    |         900
 Enrique     | Forsythe     |         784
 Freddie     | Duggan       |         625
 Wade        | Delvalle     |         484
 Austin      | Cintron      |         361
(598 rows)

